Region,State/Province,Category,Sub-Category,Segment,Average Order Value,Profit Margin,Distinct count of Customer ID,Distinct count of Order ID,Discount,Profit,Quantity,Sales
Central,Illinois,Office Supplies,Labels,Home Office,18.1,0.3372,2,2,0.4,12.21,4,36.21
Central,Illinois,Office Supplies,Labels,Corporate,21.34,0.3536,4,4,0.8,30.19,13,85.38
Central,Illinois,Office Supplies,Labels,Consumer,14.76,0.33948,7,7,1.4,35.06,31,103.29
Central,Illinois,Office Supplies,Fasteners,Home Office,16,0.35,1,1,0.2,5.6,4,16
Central,Illinois,Office Supplies,Fasteners,Corporate,10.67,0.32075,5,5,1,17.11,16,53.35
Central,Illinois,Office Supplies,Fasteners,Consumer,10.28,0.29565,7,7,1.4,21.28,30,71.98
Central,Illinois,Office Supplies,Supplies,Corporate,17.18,0.04465,3,3,0.6,2.3,10,51.53
Central,Illinois,Office Supplies,Supplies,Consumer,31.66,0.08787,4,4,0.8,11.13,16,126.62
Central,Illinois,Technology,Copiers,Home Office,959.98,0.35,1,1,0.2,335.99,2,959.98
Central,Illinois,Technology,Copiers,Corporate,"1,759.97",0.28693,2,2,0.4,"1,009.98",8,"3,519.94"
Central,Illinois,Technology,Copiers,Consumer,"1,439.97",0.3375,1,1,0.2,485.99,4,"1,439.97"
Central,Illinois,Technology,Phones,Home Office,264.84,0.09935,10,10,2,263.13,26,"2,648.38"
Central,Illinois,Technology,Phones,Corporate,254.63,0.08951,7,7,1.4,159.53,25,"1,782.38"
Central,Illinois,Technology,Phones,Consumer,536.57,0.1021,22,23,5,"1,260.03",80,"12,341.02"
Central,Illinois,Technology,Accessories,Home Office,263.21,0.17758,8,8,1.6,373.93,39,"2,105.67"
Central,Illinois,Technology,Accessories,Corporate,133.88,0.17503,6,6,1.2,140.59,30,803.26
Central,Illinois,Technology,Accessories,Consumer,138.25,0.17791,19,19,3.8,467.34,76,"2,626.76"
Central,Illinois,Technology,Machines,Home Office,598.35,0.14436,4,4,1.2,345.51,9,"2,393.41"
Central,Illinois,Technology,Machines,Consumer,"1,362.90",-0.01429,1,1,0.3,-19.47,3,"1,362.90"
Central,Indiana,Furniture,Chairs,Home Office,828.6,0.29,1,1,0,240.29,3,828.6
Central,Indiana,Furniture,Chairs,Corporate,"1,925.88",0.28,1,1,0,539.25,6,"1,925.88"
Central,Indiana,Furniture,Chairs,Consumer,741.78,0.21786,5,5,0,808.02,22,"3,708.91"
Central,Indiana,Furniture,Furnishings,Home Office,190.96,0.08729,3,3,0,50,9,572.87
Central,Indiana,Furniture,Furnishings,Corporate,20.32,0.34,1,1,0,6.91,4,20.32
Central,Indiana,Furniture,Furnishings,Consumer,102.37,0.13446,9,9,0,123.88,28,921.29
Central,Indiana,Furniture,Tables,Home Office,257.94,0.26,1,1,0,67.06,3,257.94
Central,Indiana,Furniture,Tables,Corporate,"2,678.94",0.09,1,1,0,241.1,6,"2,678.94"
Central,Indiana,Furniture,Tables,Consumer,581.96,0.18,1,1,0,104.75,2,581.96
Central,Indiana,Office Supplies,Paper,Home Office,67.45,0.47738,5,5,0,161,29,337.25
Central,Indiana,Office Supplies,Paper,Corporate,103.3,0.4721,8,8,0,390.15,27,826.41
Central,Indiana,Office Supplies,Paper,Consumer,89.48,0.47109,8,8,0,337.23,44,715.86
Central,Indiana,Office Supplies,Binders,Home Office,78.69,0.47012,4,4,0,147.97,13,314.75
Central,Indiana,Office Supplies,Binders,Corporate,370.49,0.45144,6,6,0,"1,003.53",20,"2,222.93"
Central,Indiana,Office Supplies,Binders,Consumer,184.28,0.45832,8,8,0,675.66,30,"1,474.20"
Central,Indiana,Office Supplies,Storage,Home Office,181.02,0.11785,4,4,0,85.33,18,724.09
Central,Indiana,Office Supplies,Storage,Corporate,514.52,0.14408,5,5,0,370.66,19,"2,572.58"
Central,Indiana,Office Supplies,Storage,Consumer,205.94,0.12054,4,4,0,99.29,14,823.76
Central,Indiana,Office Supplies,Appliances,Home Office,209.3,0.27,1,1,0,56.51,2,209.3
Central,Indiana,Office Supplies,Appliances,Corporate,832.61,0.32837,3,3,0,820.2,13,"2,497.84"
Central,Indiana,Office Supplies,Appliances,Consumer,242.17,0.26369,5,6,0,383.15,37,"1,453.01"
Central,Indiana,Office Supplies,Envelopes,Home Office,90.12,0.48696,2,2,0,87.76,11,180.23
Central,Indiana,Office Supplies,Envelopes,Corporate,177.5,0.4512,3,3,0,240.27,16,532.5
Central,Indiana,Office Supplies,Envelopes,Consumer,88.42,0.47585,2,2,0,84.15,13,176.83
Central,Indiana,Office Supplies,Art,Home Office,30.24,0.32561,3,3,0,29.54,10,90.72
Central,Indiana,Office Supplies,Art,Corporate,47.05,0.29281,5,5,0,68.89,26,235.27
Central,Indiana,Office Supplies,Art,Consumer,15.8,0.39849,4,4,0,25.18,18,63.2
Central,Indiana,Office Supplies,Labels,Home Office,51.75,0.48,1,1,0,24.84,5,51.75
Central,Indiana,Office Supplies,Labels,Consumer,56.12,0.48725,4,4,0,109.37,19,224.46
Central,Indiana,Office Supplies,Fasteners,Home Office,2.52,0.04,1,1,0,0.1,2,2.52
Central,Indiana,Office Supplies,Fasteners,Consumer,5.94,0,1,1,0,0,3,5.94
Central,Indiana,Technology,Copiers,Home Office,999.98,0.45,1,1,0,449.99,2,999.98
Central,Indiana,Technology,Copiers,Corporate,"17,499.95",0.48,1,1,0,"8,399.98",5,"17,499.95"
Central,Indiana,Technology,Phones,Home Office,"1,018.87",0.28941,2,2,0,589.73,10,"2,037.74"
Central,Indiana,Technology,Phones,Corporate,587.97,0.27,1,1,0,158.75,3,587.97
Central,Indiana,Technology,Phones,Consumer,354.34,0.28558,8,8,0,809.54,39,"2,834.68"
Central,Indiana,Technology,Accessories,Home Office,171.92,0.42379,1,1,0,72.86,8,171.92
Central,Indiana,Technology,Accessories,Corporate,62.72,0.2872,3,3,0,54.04,9,188.15
Central,Indiana,Technology,Accessories,Consumer,274.14,0.23103,7,7,0,443.34,28,"1,918.96"
Central,Indiana,Technology,Machines,Consumer,83.9,0.27,1,1,0,22.65,2,83.9
Central,Iowa,Furniture,Chairs,Home Office,"1,408.10",0.28,1,1,0,394.27,10,"1,408.10"
Central,Iowa,Furniture,Furnishings,Corporate,34.58,0.42,1,1,0,14.52,7,34.58
Central,Iowa,Furniture,Furnishings,Consumer,14.91,0.31,1,1,0,4.62,3,14.91
Central,Iowa,Furniture,Tables,Consumer,"1,184.72",0.09,1,1,0,106.62,4,"1,184.72"
Central,Iowa,Office Supplies,Paper,Home Office,106.32,0.47,1,1,0,49.97,3,106.32
Central,Iowa,Office Supplies,Paper,Corporate,25.23,0.48208,2,2,0,24.32,8,50.45
Central,Iowa,Office Supplies,Paper,Consumer,53.01,0.47437,3,3,0,75.44,13,159.04
Central,Iowa,Office Supplies,Binders,Home Office,15.51,0.47574,3,3,0,22.14,12,46.54
Central,Iowa,Office Supplies,Binders,Corporate,87.09,0.47783,2,2,0,83.23,16,174.18
Central,Iowa,Office Supplies,Binders,Consumer,27.24,0.49,1,1,0,13.35,6,27.24
Central,Iowa,Office Supplies,Storage,Consumer,13.48,0.26,1,1,0,3.5,1,13.48
Central,Iowa,Office Supplies,Envelopes,Home Office,7.28,0.48,1,1,0,3.49,1,7.28
Central,Iowa,Office Supplies,Envelopes,Consumer,6.12,0.47,1,1,0,2.88,3,6.12
Central,Iowa,Office Supplies,Art,Corporate,40.3,0.27,1,1,0,10.88,2,40.3
Central,Iowa,Office Supplies,Art,Consumer,53.14,0.32568,2,2,0,34.61,6,106.28
Central,Iowa,Office Supplies,Fasteners,Consumer,45.92,0.47,1,1,0,21.58,4,45.92
Central,Iowa,Technology,Phones,Corporate,305.97,0.26323,2,2,0,161.08,6,611.94
Central,Iowa,Technology,Phones,Consumer,271.18,0.29,2,2,0,157.28,7,542.36
Central,Kansas,Furniture,Furnishings,Home Office,40.56,0.32,1,1,0,12.98,2,40.56
Central,Kansas,Furniture,Furnishings,Consumer,70.56,0.34,1,1,0,23.99,6,70.56
Central,Kansas,Office Supplies,Paper,Corporate,13.56,0.46,1,1,0,6.24,2,13.56
Central,Kansas,Office Supplies,Paper,Consumer,144.72,0.48868,2,2,0,141.44,7,289.44
Central,Kansas,Office Supplies,Binders,Home Office,229.96,0.45556,2,2,0,209.52,4,459.92
Central,Kansas,Office Supplies,Binders,Corporate,152,0.46,1,1,0,69.92,5,152
Central,Kansas,Office Supplies,Storage,Corporate,196.84,0.25831,2,2,0,101.69,3,393.67
Central,Kansas,Office Supplies,Appliances,Consumer,81.96,0.28,1,1,0,22.95,2,81.96
Central,Kansas,Office Supplies,Art,Home Office,64.59,0.27137,2,2,0,35.06,6,129.18
Central,Kansas,Office Supplies,Art,Corporate,27.78,0.33,1,1,0,9.17,6,27.78
Central,Kansas,Office Supplies,Art,Consumer,5.76,0.3,1,1,0,1.73,2,5.76
Central,Kansas,Office Supplies,Labels,Consumer,18.9,0.46,1,1,0,8.69,3,18.9
Central,Kansas,Office Supplies,Fasteners,Corporate,18.24,0.5,1,1,0,9.12,3,18.24
Central,Kansas,Office Supplies,Fasteners,Consumer,5.81,0.31,1,1,0,1.8,1,5.81
Central,Kansas,Office Supplies,Supplies,Home Office,357.93,0.02,1,1,0,7.16,3,357.93
Central,Kansas,Technology,Phones,Home Office,273.96,0.04,1,1,0,10.96,2,273.96
Central,Kansas,Technology,Phones,Corporate,257.98,0.29,1,1,0,74.81,2,257.98
Central,Kansas,Technology,Phones,Consumer,224.75,0.28,1,1,0,62.93,5,224.75
Central,Kansas,Technology,Accessories,Home Office,57.4,0.19,1,1,0,10.91,5,57.4
Central,Kansas,Technology,Accessories,Corporate,34.95,0.44,1,1,0,15.38,5,34.95
Central,Manitoba,Furniture,Chairs,Consumer,355.25,0.10998,1,2,0.4,78.14,6,710.5
Central,Manitoba,Furniture,Furnishings,Consumer,15,-0.31003,1,2,0.8,-9.3,5,29.99
Central,Manitoba,Office Supplies,Binders,Consumer,284.38,0.07502,2,4,2.8,85.33,19,"1,137.51"
Central,Manitoba,Office Supplies,Storage,Consumer,26.39,0.09036,1,2,0.4,4.77,10,52.79
Central,Michigan,Furniture,Chairs,Home Office,487.96,0.3,1,1,0,146.39,2,487.96
Central,Michigan,Furniture,Chairs,Corporate,"1,323.46",0.21655,6,6,0,"1,719.57",29,"7,940.76"
Central,Michigan,Furniture,Chairs,Consumer,544.93,0.20841,10,10,0,"1,135.69",46,"5,449.34"
Central,Michigan,Furniture,Furnishings,Home Office,42.77,0.32391,5,5,0,69.27,28,213.85
Central,Michigan,Furniture,Furnishings,Corporate,223.37,0.2764,3,3,0,185.22,10,670.1
Central,Michigan,Furniture,Furnishings,Consumer,129.04,0.17523,8,8,0,180.89,32,"1,032.31"
Central,Michigan,Furniture,Bookcases,Home Office,227.45,0.21681,2,2,0,98.63,5,454.9
Central,Michigan,Furniture,Bookcases,Corporate,177.65,0.14641,2,2,0,52.02,5,355.3
Central,Michigan,Furniture,Tables,Corporate,971.39,0.18929,5,5,0,919.35,21,"4,856.94"
Central,Michigan,Furniture,Tables,Consumer,429.82,0.19605,2,2,0,168.53,6,859.64
Central,Michigan,Office Supplies,Paper,Home Office,108.16,0.48862,5,5,0,264.24,20,540.79
Central,Michigan,Office Supplies,Paper,Corporate,120.81,0.47691,8,9,0,518.55,34,"1,087.31"
Central,Michigan,Office Supplies,Paper,Consumer,31.89,0.46676,12,12,0,178.6,49,382.64
Central,Michigan,Office Supplies,Binders,Home Office,683.67,0.49906,6,6,0,"2,047.14",25,"4,101.99"
Central,Michigan,Office Supplies,Binders,Corporate,97.33,0.47314,7,7,0,322.34,31,681.28
Central,Michigan,Office Supplies,Binders,Consumer,784.29,0.48285,23,23,0,"8,710.02",136,"18,038.70"
Central,Michigan,Office Supplies,Storage,Home Office,221.16,0.13221,5,5,0,146.2,15,"1,105.81"
Central,Michigan,Office Supplies,Storage,Corporate,315.04,0.26048,4,4,0,328.24,15,"1,260.15"
Central,Michigan,Office Supplies,Storage,Consumer,347.41,0.12193,11,11,0,465.97,53,"3,821.52"
Central,Michigan,Office Supplies,Appliances,Home Office,401.59,0.26929,3,3,0.3,324.43,9,"1,204.77"
Central,Michigan,Office Supplies,Appliances,Corporate,176.55,0.27497,7,7,0.7,339.83,26,"1,235.87"
Central,Michigan,Office Supplies,Appliances,Consumer,313.92,0.22396,6,6,0.6,421.83,20,"1,883.51"
Central,Michigan,Office Supplies,Envelopes,Home Office,26.81,0.4614,2,2,0,24.74,5,53.62
Central,Michigan,Office Supplies,Envelopes,Corporate,57.96,0.47,1,1,0,27.24,7,57.96
Central,Michigan,Office Supplies,Envelopes,Consumer,99.22,0.45176,2,2,0,89.65,4,198.44
Central,Michigan,Office Supplies,Art,Home Office,28.21,0.27193,4,4,0,30.68,15,112.82
Central,Michigan,Office Supplies,Art,Corporate,43.25,0.29504,9,9,0,114.84,31,389.25
Central,Michigan,Office Supplies,Art,Consumer,45.71,0.30995,11,11,0,155.84,45,502.79
Central,Michigan,Office Supplies,Labels,Home Office,27.72,0.48,1,1,0,13.31,9,27.72
Central,Michigan,Office Supplies,Labels,Corporate,230.26,0.48989,3,3,0,338.4,8,690.78
Central,Michigan,Office Supplies,Labels,Consumer,40.52,0.48922,4,4,0,79.28,23,162.06
Central,Michigan,Office Supplies,Fasteners,Home Office,20.44,0.45,1,1,0,9.2,7,20.44
Central,Michigan,Office Supplies,Fasteners,Corporate,15.47,0.4759,2,2,0,14.72,8,30.93
Central,Michigan,Office Supplies,Fasteners,Consumer,29.07,0.32407,2,2,0,18.84,11,58.13
Central,Michigan,Office Supplies,Supplies,Home Office,70.12,0.3,1,1,0,21.04,4,70.12
Central,Michigan,Office Supplies,Supplies,Consumer,4.36,0.04,1,1,0,0.17,2,4.36
Central,Michigan,Technology,Copiers,Home Office,549.99,0.5,1,1,0,275,1,549.99
Central,Michigan,Technology,Copiers,Consumer,599.98,0.35,1,1,0,209.99,2,599.98
Central,Michigan,Technology,Phones,Home Office,420.92,0.26642,10,10,0,"1,121.38",33,"4,209.15"
Central,Michigan,Technology,Phones,Corporate,84.36,0.29008,3,3,0,73.42,10,253.09
Central,Michigan,Technology,Phones,Consumer,206.28,0.2712,11,11,0,615.37,30,"2,269.04"
Central,Michigan,Technology,Accessories,Home Office,887.75,0.35762,3,3,0,952.42,19,"2,663.25"
Central,Michigan,Technology,Accessories,Corporate,273.95,0.22241,3,3,0,182.79,15,821.85
Central,Michigan,Technology,Accessories,Consumer,180.93,0.35915,8,8,0,519.85,35,"1,447.45"
Central,Michigan,Technology,Machines,Home Office,350.97,0.43333,1,1,0.1,152.09,3,350.97
Central,Michigan,Technology,Machines,Corporate,"3,059.98",0.22222,1,1,0.1,680,2,"3,059.98"
Central,Minnesota,Furniture,Chairs,Home Office,879.21,0.2658,3,3,0,701.09,18,"2,637.64"
Central,Minnesota,Furniture,Chairs,Corporate,603.92,0.3,1,1,0,181.18,4,603.92
Central,Minnesota,Furniture,Chairs,Consumer,"1,418.91",0.28954,2,2,0,821.65,11,"2,837.81"
Central,Minnesota,Furniture,Furnishings,Home Office,29.22,0.44,1,1,0,12.86,3,29.22
Central,Minnesota,Furniture,Furnishings,Corporate,12.5,0.35942,2,2,0,8.99,5,25
Central,Minnesota,Furniture,Furnishings,Consumer,88.65,0.15619,2,2,0,27.69,6,177.3
Central,Minnesota,Furniture,Tables,Home Office,692.94,0.25,1,1,0,173.24,3,692.94
Central,Minnesota,Furniture,Tables,Consumer,607.52,0.16,1,1,0,97.2,2,607.52
Central,Minnesota,Office Supplies,Paper,Home Office,39.37,0.48516,3,3,0,57.31,14,118.12
Central,Minnesota,Office Supplies,Paper,Corporate,38.37,0.4856,2,2,0,37.26,8,76.74
Central,Minnesota,Office Supplies,Paper,Consumer,25,0.48741,5,5,0,60.94,20,125.02
Central,Minnesota,Office Supplies,Binders,Home Office,74.76,0.46,1,1,0,34.39,3,74.76
Central,Minnesota,Office Supplies,Binders,Corporate,261.93,0.45168,3,3,0,354.92,7,785.78
Central,Minnesota,Office Supplies,Binders,Consumer,"1,289.97",0.48683,9,9,0,"5,651.97",45,"11,609.70"
Central,Minnesota,Office Supplies,Storage,Home Office,348.93,0.19842,3,3,0,207.7,10,"1,046.78"
Central,Minnesota,Office Supplies,Storage,Corporate,301.28,0.29443,2,2,0,177.41,8,602.56
Central,Minnesota,Office Supplies,Storage,Consumer,218.55,0.10078,8,8,0,176.2,30,"1,748.39"
Central,Minnesota,Office Supplies,Appliances,Home Office,"1,109.45",0.3042,2,2,0,674.98,7,"2,218.89"
Central,Minnesota,Office Supplies,Appliances,Corporate,77.88,0.29,1,1,0,22.59,6,77.88
Central,Minnesota,Office Supplies,Appliances,Consumer,182.45,0.30379,3,3,0,166.28,13,547.36
Central,Minnesota,Office Supplies,Envelopes,Home Office,15.28,0.49,1,1,0,7.49,2,15.28
Central,Minnesota,Office Supplies,Envelopes,Consumer,15.28,0.49,1,1,0,7.49,2,15.28
Central,Minnesota,Office Supplies,Art,Home Office,21.85,0.3691,2,2,0,16.13,8,43.69
Central,Minnesota,Office Supplies,Art,Consumer,14.78,0.34582,4,4,0,20.44,24,59.12
Central,Minnesota,Office Supplies,Labels,Home Office,44.78,0.48992,2,2,0,43.87,8,89.55
Central,Minnesota,Office Supplies,Labels,Corporate,50.4,0.46,1,1,0,23.18,8,50.4
Central,Minnesota,Office Supplies,Labels,Consumer,10.55,0.46584,2,2,0,9.83,5,21.1
Central,Minnesota,Office Supplies,Fasteners,Consumer,21.45,0.45054,2,2,0,19.33,9,42.9
Central,Minnesota,Office Supplies,Supplies,Consumer,37.24,0.29,1,1,0,10.8,4,37.24
Central,Minnesota,Technology,Copiers,Home Office,549.99,0.5,1,1,0,275,1,549.99
Central,Minnesota,Technology,Phones,Corporate,114.95,0.02,1,1,0,2.3,5,114.95
Central,Minnesota,Technology,Phones,Consumer,329.97,0.28,2,2,0,184.78,6,659.94
Central,Minnesota,Technology,Accessories,Corporate,386.94,0.39827,2,2,0,308.21,11,773.88
Central,Minnesota,Technology,Accessories,Consumer,186.63,0.33291,4,4,0,248.51,15,746.5
Central,Missouri,Furniture,Chairs,Consumer,60.89,0.25,1,1,0,15.22,1,60.89
Central,Missouri,Furniture,Furnishings,Home Office,86.62,0.1,1,1,0,8.66,2,86.62
Central,Missouri,Furniture,Furnishings,Corporate,23.49,0.44558,2,2,0,20.93,4,46.98
Central,Missouri,Furniture,Furnishings,Consumer,201.87,0.20513,4,4,0,165.64,14,807.48
Central,Missouri,Furniture,Bookcases,Corporate,212.94,0.25,1,1,0,53.24,3,212.94
Central,Missouri,Furniture,Tables,Home Office,697.16,0.21,1,1,0,146.4,4,697.16
Central,Missouri,Furniture,Tables,Consumer,"1,024.38",0.21,1,1,0,215.12,7,"1,024.38"
Central,Missouri,Office Supplies,Paper,Corporate,38.71,0.4724,4,4,0,73.15,18,154.84
Central,Missouri,Office Supplies,Paper,Consumer,29.39,0.48214,5,5,0,70.86,24,146.97
Central,Missouri,Office Supplies,Binders,Home Office,414.15,0.47984,4,4,0,794.9,17,"1,656.59"
Central,Missouri,Office Supplies,Binders,Corporate,81.96,0.48,1,1,0,39.34,2,81.96
Central,Missouri,Office Supplies,Binders,Consumer,34.27,0.46815,4,4,0,64.17,18,137.07
Central,Missouri,Office Supplies,Storage,Home Office,838.38,0.27,1,1,0,226.36,2,838.38
Central,Missouri,Office Supplies,Storage,Consumer,238.39,0.10059,4,4,0,95.92,15,953.56
Central,Missouri,Office Supplies,Appliances,Home Office,896.31,0.35885,3,3,0,964.94,15,"2,688.93"
Central,Missouri,Office Supplies,Appliances,Consumer,327.17,0.26602,3,3,0,261.1,18,981.5
Central,Missouri,Office Supplies,Envelopes,Consumer,23.73,0.47,2,3,0,33.45,10,71.18
Central,Missouri,Office Supplies,Art,Corporate,119.81,0.2761,2,2,0,66.16,13,239.62
Central,Missouri,Office Supplies,Labels,Consumer,14.94,0.46,1,1,0,6.87,3,14.94
Central,Missouri,Office Supplies,Supplies,Corporate,"2,108.32",0.02349,2,2,0,99.06,8,"4,216.64"
Central,Missouri,Technology,Copiers,Corporate,"2,749.96",0.46127,2,2,0,"2,536.96",8,"5,499.92"
Central,Missouri,Technology,Phones,Home Office,282.46,0.39436,2,2,0,222.78,8,564.92
Central,Missouri,Technology,Accessories,Home Office,21.2,0.43,1,1,0,9.12,2,21.2
Central,Missouri,Technology,Accessories,Corporate,47.53,0.34,1,1,0,16.16,7,47.53
Central,Missouri,Technology,Accessories,Consumer,190.59,0.24104,5,5,0,229.7,29,952.95
Central,Nebraska,Furniture,Chairs,Home Office,563.94,0.2,1,1,0,112.79,3,563.94
Central,Nebraska,Furniture,Furnishings,Home Office,15.92,0.44,1,1,0,7,2,15.92
Central,Nebraska,Furniture,Furnishings,Consumer,682.42,0.29208,2,2,0,398.64,16,"1,364.84"
Central,Nebraska,Office Supplies,Paper,Corporate,61.38,0.48947,2,2,0,60.09,4,122.76
Central,Nebraska,Office Supplies,Paper,Consumer,42.01,0.47722,5,5,0,100.23,17,210.03
Central,Nebraska,Office Supplies,Binders,Home Office,34.5,0.45,1,1,0,15.53,3,34.5
Central,Nebraska,Office Supplies,Binders,Corporate,25.43,0.4831,3,3,0,36.86,9,76.3
Central,Nebraska,Office Supplies,Binders,Consumer,17.43,0.46,1,1,0,8.02,3,17.43
Central,Nebraska,Office Supplies,Storage,Corporate,750.68,0.05,1,1,0,37.53,2,750.68
Central,Nebraska,Office Supplies,Storage,Consumer,413.82,0.2444,1,1,0,101.14,9,413.82
Central,Nebraska,Office Supplies,Appliances,Corporate,61.29,0.27819,2,2,0,34.1,12,122.57
Central,Nebraska,Office Supplies,Appliances,Consumer,378,0.36,1,1,0,136.08,2,378
Central,Nebraska,Office Supplies,Art,Corporate,19.46,0.26,1,1,0,5.06,7,19.46
Central,Nebraska,Office Supplies,Labels,Consumer,14.4,0.49,1,1,0,7.06,5,14.4
Central,Nebraska,Office Supplies,Fasteners,Home Office,26.3,0.19359,2,2,0,10.18,10,52.6
Central,Nebraska,Office Supplies,Fasteners,Corporate,5.04,0.04,1,1,0,0.2,4,5.04
Central,Nebraska,Office Supplies,Supplies,Consumer,16.9,0.3,1,1,0,5.07,2,16.9
Central,Nebraska,Technology,Phones,Home Office,269.98,0.27,1,1,0,72.89,2,269.98
Central,Nebraska,Technology,Phones,Corporate,79.96,0.28,1,1,0,22.39,4,79.96
Central,Nebraska,Technology,Phones,Consumer,898.62,0.2954,3,3,0,796.35,14,"2,695.86"
Central,Nebraska,Technology,Accessories,Corporate,89.97,0.21,1,1,0,18.89,3,89.97
Central,Nebraska,Technology,Accessories,Consumer,149.97,0.34,1,1,0,50.99,3,149.97
Central,North Dakota,Office Supplies,Binders,Home Office,25.9,0.49,1,1,0,12.69,5,25.9
Central,North Dakota,Office Supplies,Storage,Consumer,704.76,0.23,1,1,0,162.09,4,704.76
Central,North Dakota,Office Supplies,Art,Home Office,2.48,0.35,1,1,0,0.87,1,2.48
Central,North Dakota,Office Supplies,Art,Consumer,179.36,0.28442,1,1,0,51.01,17,179.36
Central,North Dakota,Office Supplies,Fasteners,Consumer,7.41,0.47,1,1,0,3.48,3,7.41
Central,Oklahoma,Furniture,Chairs,Home Office,161.96,0.28,1,1,0,45.35,2,161.96
Central,Oklahoma,Furniture,Chairs,Corporate,368.97,0.22,1,1,0,81.17,3,368.97
Central,Oklahoma,Furniture,Chairs,Consumer,"1,144.15",0.28559,3,3,0,980.28,14,"3,432.45"
Central,Oklahoma,Furniture,Furnishings,Corporate,44.03,0.4169,2,2,0,36.71,7,88.05
Central,Oklahoma,Furniture,Furnishings,Consumer,678.44,0.27693,2,2,0,375.76,14,"1,356.87"
Central,Oklahoma,Furniture,Bookcases,Consumer,341.96,0.16,1,1,0,54.71,2,341.96
Central,Oklahoma,Furniture,Tables,Home Office,346.01,0.25242,2,2,0,174.68,6,692.01
Central,Oklahoma,Furniture,Tables,Corporate,"1,592.85",0.22,1,1,0,350.43,7,"1,592.85"
Central,Oklahoma,Furniture,Tables,Consumer,248.98,0.22,1,1,0,54.78,2,248.98
Central,Oklahoma,Office Supplies,Paper,Home Office,22.68,0.48,2,2,0,21.77,7,45.36
Central,Oklahoma,Office Supplies,Paper,Consumer,30.25,0.46989,5,5,0,71.08,11,151.26
Central,Oklahoma,Office Supplies,Binders,Home Office,91.03,0.46235,3,3,0,126.26,15,273.08
Central,Oklahoma,Office Supplies,Binders,Corporate,11.88,0.45,1,1,0,5.35,2,11.88
